label,dishu_count,baihua_count,dishu_pct,baihua_pct
adjective_like,0,161,0.0,2.5531240088804315
adv_like,0,1,0.0,0.01585791309863622
adverb_like,0,474,0.0,7.516650808753568
auxiliary_verb_like,0,1,0.0,0.01585791309863622
classifier_like,0,57,0.0,0.9039010466222646
conjunction_like,0,137,0.0,2.1725340945131624
determiner_like,0,2,0.0,0.03171582619727244
noun_like,0,1383,0.0,21.93149381541389
numeral_like,0,118,0.0,1.871233745639074
onomatopoeia,0,1,0.0,0.01585791309863622
other,0,279,0.0,4.424357754519505
particle_like,0,238,0.0,3.77418331747542
prep_like,0,1,0.0,0.01585791309863622
preposition_like,0,171,0.0,2.7117031398667937
pronoun_like,0,628,0.0,9.958769425943546
punct_like,0,3,0.0,0.04757373929590866
punctuation_or_symbol,0,1198,0.0,18.997779892166193
suffix_like,0,1,0.0,0.01585791309863622
verb_like,0,1452,0.0,23.025689819219792
代词/指示性 / Deictic-like,150,0,2.2294887039239,0.0
副词性 / Degree-like,137,0,2.0362663495838285,0.0
动词性 / Action-like,1727,0,25.66884661117717,0.0
名词性 / Entity-like,1124,0,16.70630202140309,0.0
形容词性 / State-like,380,0,5.648038049940547,0.0
整句/整体表达 / Clause-like Unit,569,0,8.457193816884661,0.0
无法判断 / Undetermined,111,0,1.6498216409036859,0.0
标点/边界标记 / Boundary Marker,2170,0,32.25326991676575,0.0
虚词/语法标记 / Grammatical Marker,69,0,1.025564803804994,0.0
连接/关系标记 / Connector,291,0,4.325208085612366,0.0
