word,count
逗号,63
句号,38
完成态,14
女生说,9
男生说,9
警察,8
蚊子,7
我们,6
他们,6
调查,6
助词,6
所有格,6
回家,5
感到,5
然后,4
终于,4
一起,4
车祸,4
询问,4
车主,4
经过,4
手机,4
记录,4
继续,4
办公,4
聊天,4
喝茶,4
根蜡烛,4
喜欢,4
下楼,3
上楼,3
我躺在床上,3
很快就进入了梦乡,3
看见,3
两个人,3
一同,3
一块儿,3
下楼梯,3
朝着,3
方向走,3
星巴克咖啡店,3
观瞧,3
注视,3
红色,3
衣物,3
服装,3
同僚,3
一起工作的人,3
摆动,3
摇动,3
挥动着手,3
于是,3
臀部着物,3
由高到低,3
完成后停止,3
路上,3
看到,3
非常,3
惊讶,3
看着,3
一个,3
喝咖啡,3
杀虫剂,3
车主们正在激烈地争吵,3
互相指责对方的过错,3
一个男的说,3
准备出门,2
突然,2
不知道,2
凌晨两点,2
在梦里,2
我看到两个人在激烈地争吵,2
我梦见了,2
年世界末日的场景,2
巨大的海浪淹没了地球,2
人们纷纷逃到山上避难,2
自己,2
叙述者,2
夜晚,2
十一点钟,2
前面,2
发生,2
两辆车,2
车主们,2
正在,2
激烈,2
状语标记,2
争吵,2
互相,2
指责,2
对方,2
过错,2
停下,2
脚步,2
观看,2
迅速,2
赶到,2
现场,2
介入,2
两位,2
