primitive,material1_count,material2_count
+ 人类 / Human,526,0
+ 人造物 / Artifact,384,0
+ 危险 / Danger,64,0
+ 情感 / Emotion,238,0
+ 时间 / Time,113,0
+ 有生命 / Animate,172,0
+ 生理需求 / Bodily Need,21,0
+ 社会关系 / Social Relation,102,0
+ 空间 / Space,221,0
+ 自然物 / Natural Object,73,0
+ 认知 / Cognition,349,0
+ 运动 / Motion,542,0
交易,0,1
位移,0,6
低成本,0,1
停止,0,1
分类,0,1
动作,0,6
发生,0,1
向内,0,1
实体物件,0,1
延续,0,3
强烈,0,1
微小,0,2
心理活动,0,2
情绪,0,1
手部,0,1
抵达,0,2
昂贵,0,1
状态改变,0,1
生命力下降,0,1
短暂,0,2
程度,0,3
空间位移,0,1
终结,0,7
结束,0,2
表情,0,1
覆盖,0,1
视觉,0,4
躯体,0,1
达成,0,1
过程,0,2
避险,0,2
重复,0,2
